ACTIVE,ERROR,REGION,CODE,CATEGORY,GROUP,TAG,ID,NAME,EPGID,LOGOURL,URL,EPGURL,PROVIDER,NOTES
yes,,24/7 PLUTO TV,,,NEWS,,CNBC,CNBC,,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/CNBC_logo.svg/2000px-CNBC_logo.svg.png,http://stitcher.pluto.tv/stitch/hls/channel/57ebfd64f70792b24b5bd9a6/master.m3u8?deviceType=&deviceMake=&deviceModel=&sid=2&deviceId=&deviceVersion=&appVersion=&deviceDNT=&userId=&advertisingId=&deviceLat=&deviceLon=-&app_name=&appName=&appStoreUrl=&profileLimit=high,,,
yes,,24/7 PLUTO TV,,,NEWS,,CNET,CNET,,http://pluto.tv.s3.amazonaws.com/assets/images/channels/7cd92dbc-3121-2ec3-774e-a46148805439-CNET-channel-feature.jpg,http://stitcher.pluto.tv/stitch/hls/channel/56283c8769ba54637dea0464/master.m3u8?deviceType=&deviceMake=&deviceModel=&sid=b4c19bad-f2ee-41c2-8e28-fbd87d36e3a3&deviceId=&deviceVersion=&appVersion=&deviceDNT=&userId=&advertisingId=&deviceLat=&deviceLon=-&app_name=&appName=&appStoreUrl=&profileLimit=high,,,
yes,,24/7 PLUTO TV,,,NEWS,,NBC News,NBC News,,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/NBC_News_2011.svg/1200px-NBC_News_2011.svg.png,http://stitcher.pluto.tv/stitch/hls/channel/5268abcd0ce20a8472000114/master.m3u8?sid=web24157571521&deviceType=web&deviceMake=web&deviceVersion=1&deviceId=web24163643069&appVersion=5.2.7&deviceDNT=web&deviceModel=web,,,
yes,,24/7 PLUTO TV,,,NEWS,,News 24/7,News 24/7,,http://pluto.tv.s3.amazonaws.com/assets/images/channels/f99bf312-8fce-5925-f11b-41ba1cd7829b-News247_featured.jpg,http://stitcher.pluto.tv/stitch/hls/channel/5268abcd0ce20a8472000114/master.m3u8?sid=web24157571521&deviceType=web&deviceMake=web&deviceVersion=1&deviceId=web24163643069&appVersion=5.2.7&deviceDNT=web&deviceModel=web,,,
yes,,ALBANIA,,,NEWS,,News 24,News 24,,http://balkanweb.com/news24/live/images/logolive.png,http://tv.balkanweb.com:8081/news24/livestream/playlist.m3u8,,,
yes,,AUSTRALIA,,,NEWS,,ABC News,ABC News,,http://i.imgur.com/tzxsdyN.png,https://abc-iview-mediapackagestreams-1.akamaized.net/out/v1/50345bf35f664739912f0b255c172ae9/index_1.m3u8,,,
yes,,AUSTRALIA,,,NEWS,,ABC News 24,ABC News 24,,http://www.abc.net.au/tv/common/images/publicity/abcnewsdefault_90.jpg,http://abcnews24mha-lh.akamaihd.net/i/abcnews24nospe_1@70019/master.m3u8,,,
yes,,CANADA,,,NEWS,,CBC News,CBC News,,https://upload.wikimedia.org/wikipedia/commons/thumb/2/29/CBC_News_Logo.svg/1200px-CBC_News_Logo.svg.png,https://cbcnewshd-f.akamaihd.net/i/cbcregional_1@141286/index_700_av-p.m3u8,,,
yes,,CANADA,,,NEWS,,CBC News (VOD),CBC News (VOD),,https://upload.wikimedia.org/wikipedia/commons/thumb/2/29/CBC_News_Logo.svg/1200px-CBC_News_Logo.svg.png,http://cbcnewshd-f.akamaihd.net/i/cbcnews_1@8981/index_2500_av-p.m3u8,,,
yes,,GERMANY,,,NEWS,,Deutsche Welle (Opt-1),Deutsche Welle (Opt-1),,https://upload.wikimedia.org/wikipedia/commons/thumb/7/75/Deutsche_Welle_symbol_2012.svg/240px-Deutsche_Welle_symbol_2012.svg.png,http://dwstream5-lh.akamaihd.net/i/dwstream5_live@124540/master.m3u8,,,
yes,,GERMANY,,,NEWS,,Deutsche Welle (Opt-2),Deutsche Welle (Opt-2),,https://upload.wikimedia.org/wikipedia/commons/thumb/7/75/Deutsche_Welle_symbol_2012.svg/240px-Deutsche_Welle_symbol_2012.svg.png,http://dwstream72-lh.akamaihd.net/i/dwstream72_live@123556/master.m3u8,,,
yes,,GERMANY,,,NEWS,,Deutsche Welle (Opt-3),Deutsche Welle (Opt-3),,https://upload.wikimedia.org/wikipedia/commons/thumb/7/75/Deutsche_Welle_symbol_2012.svg/240px-Deutsche_Welle_symbol_2012.svg.png,http://dwstream6-lh.akamaihd.net/i/dwstream6_live@123962/master.m3u8,,,
yes,,GERMANY,,,NEWS,,Deutsche Welle (Opt-4),Deutsche Welle (Opt-4),,https://upload.wikimedia.org/wikipedia/commons/thumb/7/75/Deutsche_Welle_symbol_2012.svg/240px-Deutsche_Welle_symbol_2012.svg.png,http://ott-cdn.ucom.am/s26/index.m3u8?fluxustv.m3u8,,,
yes,,IRELAND,,,NEWS,,RTE News Now,RTE News Now,,https://upload.wikimedia.org/wikipedia/en/d/db/Rtenewsnownewlogo.png,http://wmsrtsp1.rte.ie/live/android.sdp/playlist.m3u8,,,
yes,,PAKISTAN,,,NEWS,,7 News,7 News,,http://www.citysearch.pk/UF/Companies/5956/7news-tv-logo.png,http://cdn2.mjunoon.tv:25461/live/CDN/MJUNOON/10.m3u8,,,
yes,,PAKISTAN,,,NEWS,,24 News,24 News,,https://en.dailypakistan.com.pk/wp-content/uploads/2016/02/App-Icon.jpg,http://streamer12.dstreamone.com/ch24/channel24/playlist.m3u8,,,
